usr_correo,usr_nombre,usr_ap_paterno,usr_ap_materno,usr_contrasenia,usr_fecha_nac,usr_telefono,usr_foto,usr_tipo,usr_verificado
mgastelum@example.net,Jaime,Zarate,Pineda,$2b$12$DoREiIwk3USM5E.4Ot2ImeVLYYpQsYpKcizLWKqhFWaR0sObhy5jC,1962-10-15,+52 3938 6442,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,1,1
lalonso@example.com,Sofía,Mota,Zapata,$2b$12$gj3qjkFhVKAibJrs4W6b4uhzq3T8RZdY3QyTUL8MllRals5dwTV5q,1994-12-26,+52 2771 7267,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
holguinasuncion@example.com,Armando,Ramírez,Vergara,$2b$12$QEwr2L5dNqCzGN8oMCdpFuG32urKMc/CZURNeUead9bbWh2MQK8EG,1959-10-15,+52 8541 6728,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,1,1
raquel03@example.org,Berta,Mascareñas,Ozuna,$2b$12$3KBd7xYVJ6APmQLCczMFGuiTOitVAMbIfvh8IBqjn4L17YI/Cc/1a,1961-03-25,+52 4164 7528,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png,1,1
rodolfo82@example.org,Indira,Arguello,Vélez,$2b$12$gzISSHdkrzha0GpVOq5nv.o7HNvGJx/fph.SqPaozkVzIOxEMKSIm,1953-12-20,+52 5573 6753,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
mariano37@example.com,José Luis,Meraz,Parra,$2b$12$7RIks.5dTMOO9Nq5xeSJJOLGkfIwa5lwlrxz45xG8kwFsOr7KzM3i,1964-11-02,+52 6425 1452,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
cesarbatista@example.net,Gabino,Bermúdez,Cordero,$2b$12$GskSloMADUss7xwm709SWef17GZwIzyAU832Fy/uec.YzZegJXEDa,1955-06-30,+52 5349 1626,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
vergaraadalberto@example.org,Emiliano,Pichardo,Sepúlveda,$2b$12$.juyf3v5hd9PH5lYd97DDeZj.Yh5M1YdCeva5BI9egVy5kIJdp.86,2004-07-31,+52 6139 8149,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
tsosa@example.net,Lorena,Rodríquez,Verdugo,$2b$12$vBxq2BNryQV0jwj2fx8TTu4qTNy5Z1hX9Pj01f7RxkpwyJMq4E/8.,1998-11-15,+52 4114 5173,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
centenodiego@example.net,Miguel,Monroy,Alvarez,$2b$12$Ziv24K1cr7BpE1033pXozO//leamrNp2Kgg2foF/t2lPIEw8.VDiK,1991-06-12,+52 9821 4228,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,1,1
emilia50@example.net,José María,Posada,Torres,$2b$12$a0AQLF/wfzEeY1mXmOqVbO4VXx8ITQuKQjlruvUypP6pbrAGPFVtm,2003-01-27,+52 6409 6143,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
mamador@example.com,Micaela,Gómez,Sevilla,$2b$12$mp9NYFV739RgpSWRZzlS..hxonaZlvyCmq6/rjkpLD7q/pP/y6UOe,1977-06-19,+52 7691 6344,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,1,1
tomas41@example.net,Estefanía,Guillen,Valdez,$2b$12$KDJO6cq6cUqzPIQiATerG.kh2lOCY351RYHW8NvahRoMDhZY5P4iu,1983-03-05,+52 4143 7888,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,1,1
luis-manuel57@example.com,Delia,Zepeda,Segura,$2b$12$U/rG06.Gta6Vs4d3A9nA9.X6Rk/jrk9i3huMC3u6Bqtl5R8JFUsKK,1991-02-11,+52 5930 7653,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
karinaquesada@example.org,Nancy,Granados,Zarate,$2b$12$/amxgRlwoYcxdsXXIK4hg.1hZ0veUegQvj3VaoP6oeyulI/xbSDym,1970-02-14,+52 4443 8043,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
luis-miguel95@example.org,Carmen,Reséndez,Campos,$2b$12$iEyWKJYoYuwXdyFAtGWbsu1Epwo5naIWU/R8eNDV03dyqeHvZ9/2u,1964-12-24,+52 8244 4501,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
menapilar@example.net,María Eugenia,Trujillo,Monroy,$2b$12$gMC2gr1Ni/PvKx8.b6X9WuahQi4vhO/zEIb2ppDH/zDqyK25rcwFO,1974-09-10,+52 3780 2389,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,1,1
rebeca85@example.org,Graciela,Toledo,Rodríguez,$2b$12$mnmqBLsTfD7H/C9UOD7hfeH2f0yrYMRRrsJOe3AGdFbVzcfJIkFFW,1969-02-22,+52 6085 4680,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,1,1
itzelcepeda@example.net,Nancy,Toledo,Ozuna,$2b$12$ZqF9H1XTS64jmK3t2jm17.CoBInt.17oGnXV3d00rhYtphaQfx4/K,1987-09-27,+52 5011 8784,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
wjurado@example.com,Lucas,Guerra,Jaimes,$2b$12$d/Gq/41XpDca9pUoZYORwuW7iSC5e/yv8ONsaaCYU65eyueYeicby,1961-06-16,+52 4185 7291,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png,1,1
oalmonte@example.org,Federico,Galván,Riojas,$2b$12$yZovFKw6BXKzVRlBOW3i8.QS1jwk6uBNARMMG9zKiMdgREJ2dQweW,1948-09-29,+52 1090 2746,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,1,1
pchavarria@example.com,Helena,Montañez,Mesa,$2b$12$qLo1PKW6DBKGgsD.NrDlDOoVYYWXsK0zYiYpc5DJQ9YKg9avN12c.,1995-08-30,+52 9486 8611,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
tvillagomez@example.net,Omar,Olivares,Meza,$2b$12$lrL8Y469XOWQ/NiPkmgbauu2sAVGvgmNAKtKlQ0Cx8Q6zPx2RrFB.,1972-01-13,+52 8478 3184,https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png,1,1
helenaestrada@example.com,Jacinto,Carmona,Orozco,$2b$12$OtCj21cT69D7dbXv8p.5uuv7c1KR8BtiZMGetAfTl/WSLwSUVPWr2,1962-08-28,+52 9270 7991,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
delia78@example.com,Georgina,Cabrera,Pedroza,$2b$12$fHzpI7byRFnjGE02SR6QN.cHv9WfmvhEoYTnEFb/MZd.0bfC7jdL2,1981-08-02,+52 8777 8373,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
isabelrosales@example.com,Emilio,Castillo,Mota,$2b$12$cx3gMl93WjlG6lCS7ltt3uHUxxuI8xf2e7rz7I/INlwOHCh3cK6mu,1967-03-07,+52 5543 9540,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png,1,1
ffonseca@example.net,Irma,Tapia,Marrero,$2b$12$w1Qa8dLtNjrcog8eE0ebfOLo1ttEtSULFYZxLlocQNwUjagMlE3tm,1989-05-22,+52 2269 5681,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
raulrosas@example.org,Mauro,Domínguez,Cardenas,$2b$12$GszrVBK8.uo8OdOvtSMkpO4o1qDSqQJvmEq0qoQV2FvI3Vputb1US,1945-07-30,+52 9849 2320,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,1,1
psaldivar@example.com,Amador,Alfaro,Nájera,$2b$12$YmNnkQLoVmVNsVlQAU0T3OV2/WVU4x85enhjHswWPiBJ9SOMosMiq,1960-08-18,+52 3503 4505,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1,1
jose-mariacollado@example.net,Nayeli,Jaramillo,Luna,$2b$12$Rn12DO2PFcjCbq1n3nNtLOaGAEourpdtJXw6zF2o3AMic7cYQROPq,1986-03-20,+52 9890 8633,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,1,1
regaladomaximiliano@example.com,Gerardo,Saucedo,Altamirano,$2b$12$5OAl8EEJnCsxIlWNRQUhQe3s2XeAUi6rTL5rzK88C00lHrZW.oCN.,1967-07-26,+52 7381 1320,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
luisaalcantar@example.com,Isabela,Rubio,Ocampo,$2b$12$DY0bj4l0i39F2Zh/.l2nCe/gUJtgrYPDp8oeKHnkk4zrpfKqUPPB.,1957-07-11,+52 6763 5892,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,1,1
